SNO,HTEAM,ATEAM,PLACE,SUBIN,SUBOUT,MINUTE,LIVSCOBF,OPPSCOBF,LIVSCOAF,OPPSCOAF,YC,RC,GS,A,OG,MATCH,SUBINPOS,SUBOUTPOS
1,LIVERPOOL,WATFORD,A,Origi,Firmino ,81,3,2,3,3,0,0,0,0,0,MATCH1,Attacker,Attacker
2,LIVERPOOL,WATFORD,A,Milner,Salah,86,3,2,3,3,0,0,0,0,0,MATCH1,Midfielder,Attacker
3,LIVERPOOL,WATFORD,A,Gomez,Trent Arnold,91,3,2,3,3,0,0,0,0,0,MATCH1,Defender,Defender
4,LIVERPOOL,CRYSTAL PALACE,H,Salah,Sturridge,61,0,0,1,0,0,0,0,0,0,MATCH2,Attacker,Attacker
5,LIVERPOOL,CRYSTAL PALACE,H,Solanke,Wijnaldum,71,0,0,1,0,0,0,0,0,0,MATCH2,Attacker,Midfielder
6,LIVERPOOL,CRYSTAL PALACE,H,Lovern,Firmino ,90,1,0,1,0,0,0,0,0,0,MATCH2,Defender,Attacker
7,LIVERPOOL,ARSENAL,H,Sturridge,Salah,74,3,0,4,0,0,0,1,0,0,MATCH3,Attacker,Attacker
8,LIVERPOOL,ARSENAL,H,Milner,Firmino ,80,4,0,4,0,0,0,0,0,0,MATCH3,Midfielder,Attacker
9,LIVERPOOL,ARSENAL,H,Grujic,Can,84,4,0,4,0,0,0,0,0,0,MATCH3,Midfielder,Midfielder
10,LIVERPOOL,MANCHESTER CITY,A,Oxlade Chamberlain,Salah,46,0,1,0,5,0,0,0,0,0,MATCH4,Midfielder,Attacker
11,LIVERPOOL,MANCHESTER CITY,A,Milner,Wijnaldum,58,0,3,0,5,0,0,0,0,0,MATCH4,Midfielder,Midfielder
12,LIVERPOOL,MANCHESTER CITY,A,Solanke,Firmino ,67,0,3,0,5,0,0,0,0,0,MATCH4,Attacker,Attacker
13,LIVERPOOL,BURNLEY,H,Solanke,Coutinho,78,1,1,1,1,0,0,0,0,0,MATCH5,Attacker,Midfielder
14,LIVERPOOL,BURNLEY,H,Oxlade Chamberlain,Firmino ,79,1,1,1,1,0,0,0,0,0,MATCH5,Midfielder,Attacker
15,LIVERPOOL,LEICESTER,A,Sturridge,Firmino ,64,3,1,3,2,0,0,0,1,0,MATCH6,Attacker,Attacker
16,LIVERPOOL,LEICESTER,A,Milner,Can,74,3,2,3,2,0,0,0,0,0,MATCH6,Midfielder,Midfielder
17,LIVERPOOL,LEICESTER,A,Oxlade Chamberlain,Coutinho,79,3,2,3,2,0,0,0,0,0,MATCH6,Midfielder,Midfielder
18,LIVERPOOL,NEWCASTLE,A,Firmino,Sturridge,74,1,1,1,1,0,0,0,0,0,MATCH7,Attacker,Attacker
19,LIVERPOOL,NEWCASTLE,A,Solanke,Mane,74,1,1,1,1,0,0,0,0,0,MATCH7,Attacker,Attacker
20,LIVERPOOL,NEWCASTLE,A,Oxlade Chamberlain,Salah,84,1,1,1,1,0,0,0,0,0,MATCH7,Midfielder,Attacker
